,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart
0,12,0.0,0.003288719304103016,12,94.0,0,1.0
1,12,0.0,0.0038194561147365524,12,94.0,0,1.0
2,12,0.0,0.002512787067225908,12,94.0,0,1.0
3,12,0.0,0.004797846587985211,12,94.0,0,1.0
4,12,0.0,0.004726751455463418,12,94.0,0,1.0
5,12,0.0,0.0030808198310909862,12,94.0,0,1.0
6,12,0.0,0.005351620851460348,12,94.0,0,1.0
7,12,0.0,0.004763873876410751,12,94.0,0,1.0
8,12,0.0,0.004377638929866756,12,94.0,0,1.0
9,12,0.0,0.005404943760116576,12,94.0,0,1.0
10,12,0.0,0.003955550089755455,12,94.0,0,1.0
11,12,0.0,0.0048880456779751835,12,94.0,0,1.0
12,12,0.0,0.003360745892491024,12,94.0,0,1.0
13,12,0.0,0.0013999493609505587,12,94.0,0,1.0
14,12,0.0,0.0039405633045186406,12,94.0,0,1.0
15,12,0.0,0.003330410650588367,12,94.0,0,1.0
16,12,0.0,0.0042403507877711855,12,94.0,0,1.0
17,12,0.0,0.0053333089278916335,12,94.0,0,1.0
18,12,0.0,0.004143385724724391,12,94.0,0,1.0
19,12,0.0,0.0042689727317027915,12,94.0,0,1.0
20,12,0.0,0.0041682335684031235,12,94.0,0,1.0
21,12,0.0,0.004215423003634755,12,94.0,0,1.0
22,12,0.0,0.004084859671391272,12,94.0,0,1.0
23,12,0.0,0.00624827792904481,12,94.0,0,1.0
24,12,0.0,0.0033882539315808202,12,94.0,0,1.0
25,12,0.0,0.0042500044560105366,12,94.0,0,1.0
26,12,0.0,0.004648991733722907,12,94.0,0,1.0
27,12,0.0,0.005139822601142097,12,94.0,0,1.0
28,12,0.0,0.004681570167760052,12,94.0,0,1.0
29,12,0.0,0.002677489078575901,12,94.0,0,1.0
30,12,0.0,0.006235415884820572,12,94.0,0,1.0
31,12,0.0,0.0035902848579164592,12,94.0,0,1.0
32,12,0.0,0.0031215765426056974,12,94.0,0,1.0
33,12,0.0,0.004325813121274669,12,94.0,0,1.0
34,12,0.0,0.002605651814948984,12,94.0,0,1.0
35,12,0.0,0.004526089005563283,12,94.0,0,1.0
36,12,0.0,0.004769770827484865,12,94.0,0,1.0
37,12,0.0,0.006299133134716306,12,94.0,0,1.0
38,12,0.0,0.004006106483779415,12,94.0,0,1.0
39,12,0.0,0.003982177306063983,12,94.0,0,1.0
