,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart
0,36,0.0,0.007425648445344213,36,294.0,0,1.0
1,36,0.0,0.009521760192531703,36,294.0,0,1.0
2,36,0.0,0.005957103536681885,36,294.0,0,1.0
3,36,0.0,0.009393784809326733,36,294.0,0,1.0
4,36,0.0,0.0066901239608078145,36,294.0,0,1.0
5,36,0.0,0.008723889272523211,36,294.0,0,1.0
6,36,0.0,0.006202761000428381,36,294.0,0,1.0
7,36,0.0,0.006890871938608933,36,294.0,0,1.0
8,36,0.0,0.00736940463757052,36,294.0,0,1.0
9,36,0.0,0.008457562974918731,36,294.0,0,1.0
10,36,0.0,0.005162891149132598,36,294.0,0,1.0
11,36,0.0,0.012753662590854753,36,294.0,0,1.0
12,36,0.0,0.010666843499687162,36,294.0,0,1.0
13,36,0.0,0.011696797068058484,36,294.0,0,1.0
14,36,0.0,0.005863828615908395,36,294.0,0,1.0
15,36,0.0,0.007943822804338363,36,294.0,0,1.0
16,36,0.0,0.00954025764060018,36,294.0,0,1.0
17,36,0.0,0.006881614674729031,36,294.0,0,1.0
18,36,0.0,0.007782748646234627,36,294.0,0,1.0
19,36,0.0,0.005649026728505313,36,294.0,0,1.0
20,36,0.0,0.006925310355395675,36,294.0,0,1.0
21,36,0.0,0.008147588405652217,36,294.0,0,1.0
22,36,0.0,0.0049452067866092575,36,294.0,0,1.0
23,36,0.0,0.010404242222231908,36,294.0,0,1.0
24,36,0.0,0.006251529647028242,36,294.0,0,1.0
25,36,0.0,0.009116650411382765,36,294.0,0,1.0
26,36,0.0,0.004737968540195592,36,294.0,0,1.0
27,36,0.0,0.005141633857878136,36,294.0,0,1.0
28,36,0.0,0.01027086351161155,36,294.0,0,1.0
29,36,0.0,0.006209165086615509,36,294.0,0,1.0
30,36,0.0,0.008207239135372357,36,294.0,0,1.0
31,36,0.0,0.008930261910261805,36,294.0,0,1.0
32,36,0.0,0.0039250878030165914,36,294.0,0,1.0
33,36,0.0,0.004635294041082094,36,294.0,0,1.0
34,36,0.0,0.007382452584931309,36,294.0,0,1.0
35,36,0.0,0.004123438929694023,36,294.0,0,1.0
36,36,0.0,0.010594074353777572,36,294.0,0,1.0
37,36,0.0,0.009538619687328942,36,294.0,0,1.0
38,36,0.0,0.011899691574683402,36,294.0,0,1.0
39,36,0.0,0.009817011920171037,36,294.0,0,1.0
40,36,0.0,0.0042781788841212975,36,294.0,0,1.0
41,36,0.0,0.007493361647398444,36,294.0,0,1.0
42,36,0.0,0.01037791707865221,36,294.0,0,1.0
43,36,0.0,0.01196943429132058,36,294.0,0,1.0
44,36,0.0,0.007112133051070724,36,294.0,0,1.0
45,36,0.0,0.009607857681329435,36,294.0,0,1.0
46,36,0.0,0.007487695399281735,36,294.0,0,1.0
47,36,0.0,0.009346722613618463,36,294.0,0,1.0
48,36,0.0,0.006701770351349112,36,294.0,0,1.0
49,36,0.0,0.007281987057311534,36,294.0,0,1.0
50,36,0.0,0.011964432828955096,36,161.0,0,2.0
51,36,0.0,0.0038715901211996417,36,161.0,0,2.0
52,36,0.0,0.004021227482158829,36,161.0,0,2.0
53,36,0.0,0.004337084678444514,36,161.0,0,2.0
54,36,0.0,0.006059747869531229,36,161.0,0,2.0
55,36,0.0,0.004938095679433152,36,161.0,0,2.0
56,36,0.0,0.010747695548765202,36,161.0,0,2.0
57,36,0.0,0.007387569946811334,36,161.0,0,2.0
58,36,0.0,0.005901013963524493,36,161.0,0,2.0
59,36,0.0,0.005970016007607604,36,161.0,0,2.0
60,36,0.0,0.005551894982915306,36,161.0,0,2.0
61,36,0.0,0.005850030733638323,36,161.0,0,2.0
62,36,0.0,0.004364243703611881,36,161.0,0,2.0
63,36,0.0,0.006727336834816411,36,161.0,0,2.0
64,36,0.0,0.004029905209339768,36,161.0,0,2.0
65,36,0.0,0.008348863274964091,36,161.0,0,2.0
66,36,0.0,0.006667648762762823,36,161.0,0,2.0
67,36,0.0,0.007235815291985803,36,161.0,0,2.0
68,36,0.0,0.009772601335609643,36,161.0,0,2.0
69,36,0.0,0.00559545075917689,36,161.0,0,2.0
70,36,0.0,0.01068467860390887,36,161.0,0,2.0
71,36,0.0,0.006348592935450537,36,161.0,0,2.0
72,36,0.0,0.009687637011912886,36,161.0,0,2.0
73,36,0.0,0.008916803982238153,36,161.0,0,2.0
74,36,0.0,0.006770973270680991,36,161.0,0,2.0
75,36,0.0,0.007306839080216232,36,161.0,0,2.0
76,36,0.0,0.004116259167708525,36,161.0,0,2.0
77,36,0.0,0.00697348271264997,36,161.0,0,2.0
78,36,0.0,0.003703792510755144,36,161.0,0,2.0
79,36,0.0,0.007020653629689955,36,161.0,0,2.0
80,36,0.0,0.004818970087519969,36,161.0,0,2.0
81,36,0.0,0.004480897506019876,36,161.0,0,2.0
82,36,0.0,0.007007001624058207,36,161.0,0,2.0
83,36,0.0,0.008356878204840323,36,161.0,0,2.0
84,36,0.0,0.004176178851632573,36,161.0,0,2.0
85,36,0.0,0.00853518922122487,36,161.0,0,2.0
86,36,0.0,0.008460455486291374,36,161.0,0,2.0
87,36,0.0,0.004219951808189459,36,161.0,0,2.0
88,36,0.0,0.007030280747311823,36,161.0,0,2.0
89,36,0.0,0.009437300022082873,36,161.0,0,2.0
90,36,0.0,0.010987481748387151,36,161.0,0,2.0
91,36,0.0,0.009799445345599733,36,161.0,0,2.0
92,36,0.0,0.007950871337694787,36,161.0,0,2.0
93,36,0.0,0.005814812018166471,36,161.0,0,2.0
94,36,0.0,0.006585319410597479,36,161.0,0,2.0
95,36,0.0,0.00970277561006383,36,161.0,0,2.0
96,36,0.0,0.0034744855343679104,36,161.0,0,2.0
97,36,0.0,0.005189112799007467,36,161.0,0,2.0
98,36,0.0,0.007694992200603545,36,161.0,0,2.0
99,36,0.0,0.004495792299558765,36,161.0,0,2.0
100,36,0.0,0.010069736131124163,36,148.0,0,3.0
101,36,0.0,0.007374472104859309,36,148.0,0,3.0
102,36,0.0,0.009980933731212449,36,148.0,0,3.0
103,36,0.0,0.006819231832518091,36,148.0,0,3.0
104,36,0.0,0.005963935881854621,36,148.0,0,3.0
105,36,0.0,0.0071533809217640965,36,148.0,0,3.0
106,36,0.0,0.004602356941878716,36,148.0,0,3.0
107,36,0.0,0.010580038304166761,36,148.0,0,3.0
108,36,0.0,0.0055172815936750386,36,148.0,0,3.0
109,36,0.0,0.008216041179426092,36,148.0,0,3.0
110,36,0.0,0.005442406520912657,36,148.0,0,3.0
111,36,0.0,0.010534440515539312,36,148.0,0,3.0
112,36,0.0,0.008885632081251149,36,148.0,0,3.0
113,36,0.0,0.007181532517168798,36,148.0,0,3.0
114,36,0.0,0.008443241362161347,36,148.0,0,3.0
115,36,0.0,0.004046131302903433,36,148.0,0,3.0
116,36,0.0,0.0087896237236339,36,148.0,0,3.0
117,36,0.0,0.009350234910173172,36,148.0,0,3.0
118,36,0.0,0.011295157054348248,36,148.0,0,3.0
119,36,0.0,0.005683696664732896,36,148.0,0,3.0
120,36,0.0,0.010001111695350784,36,148.0,0,3.0
121,36,0.0,0.008518692259692373,36,148.0,0,3.0
122,36,0.0,0.008833311951890854,36,148.0,0,3.0
123,36,0.0,0.003839179749579702,36,148.0,0,3.0
124,36,0.0,0.011451644839511554,36,148.0,0,3.0
125,36,0.0,0.009238482282386773,36,148.0,0,3.0
126,36,0.0,0.008408833991552012,36,148.0,0,3.0
127,36,0.0,0.008591971851014013,36,148.0,0,3.0
128,36,0.0,0.01000109221447154,36,148.0,0,3.0
129,36,0.0,0.006162052124390138,36,148.0,0,3.0
